npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0101447E7,SDN Meruya Utara 13 Pg.,"Jl. Taman Aries Blok F/ 12, Meruya Utara, Kembangan",366.0,14.0,"Hj. Ummul Fitri,M.Pd",5856414.0,Baik,A
2.0101446E7,SDN Meruya Utara 15 Pt.,"Jl. Aries Utama Blok F. 12, Meruya Utara, Kembangan",300.0,11.0,Mawih,021-70916463,Baik,A
2.0104178E7,SDN Munjul 01 Pg.,"Jl. Dalang, Munjul, Cipayung",441.0,14.0,"Widiyono, S.Pd",8447062.0,Baik,A
2.0109233E7,SDN Munjul 02 Pg.,"Jl. Dalang, Munjul, Cipayung",430.0,21.0,"Hj. Lily Maliyah, M.M",021-84593506,Baik,A
2.0104639E7,SDN P Mangga Dua Selatan 05 Pg.,"Jl. Mangga Besar XIIIA Mangga Dua Selatan, Mangga Dua Selatan, Sawah Besar",349.0,12.0,PITTA SARI HARAHAP,021-6014818,Padat/Kumuh,A
2.0101031E7,SDN Pademangan Barat 01 Pg.,"Jl. Ampera III Gng. Sahari, Pademangan Barat, Pademangan",354.0,24.0,"Sri Sunarlin, S.Pd., M.Si",6.471747E7,Banjir,A
2.0101033E7,SDN Pademangan Barat 03 Pg.,"Jl. Hidup Baru I No. 101, Pademangan Barat, Pademangan",317.0,14.0,"Wahyono, S.Pd.",2.164712273E9,Padat/Kumuh,A
2.0101034E7,SDN Pademangan Barat 04 Pt.,"Jl. Hidup Baru I No. 101, Pademangan Barat, Pademangan",259.0,10.0,"Suryadi, S.Pd.,M.Si",2.16455031E8,Padat/Kumuh,A
2.0101035E7,SDN Pademangan Barat 05 Pg.,"Jl. Satria 12 C, Pademangan Barat, Pademangan",202.0,9.0,"BUDI SULISTYAWTI, S.Pd., M.Si",2.164715207E9,Baik,A
2.0101036E7,SDN Pademangan Barat 07 Pg.,"Jl. Ampera VII, Pademangan Barat, Pademangan",306.0,14.0,"Joko Supriyadi, M.Pd",6455673.0,Padat/Kumuh,B
2.0101037E7,SDN Pademangan Barat 08 Pt.,"Jl. Ampera VII, Pademangan Barat, Pademangan",342.0,14.0,"Harnadi, S.Pd",,Padat/Kumuh,B
2.0104874E7,SDN Pademangan Barat 09 Pg.,"Jl. Budi Mulia, Pademangan Barat, Pademangan",329.0,26.0,"MAESAROH,S.Pd.MM.Pd",021-64703161,Baik,A
2.0104875E7,SDN Pademangan Barat 11 Pg.,"Jl. Budimulia, Pademangan Barat, Pademangan",404.0,13.0,"TEMU RAHAYU, S.Pd",6412886.0,Padat/Kumuh,A
2.0101041E7,SDN Pademangan Barat 12 Pg.,"Jl. Hidup Baru I/ 101, Pademangan Barat, Pademangan",301.0,13.0,,6455064.0,Padat/Kumuh,B
2.0101042E7,SDN Pademangan Barat 13 Pt.,"JL HIDUP BARU I NO. 101, Pademangan Barat, Pademangan",291.0,14.0,"Ramaita, S.Pd",021-64703099,Padat/Kumuh,A
2.0101043E7,SDN Pademangan Barat 14 Pt.,"Jl. Budimulia, Pademangan Barat, Pademangan",336.0,14.0,"DARSINI, M.Pd",021 64717322,Padat/Kumuh,B
2.0101044E7,SDN Pademangan Timur 01 Pg.,"Jl. Pademangan II Gg. 22, Pademangan Timur, Pademangan",302.0,12.0,"LILSARI,M.Pd",6450582.0,Baik,A
2.0101045E7,SDN Pademangan Timur 02 Pt.,"Jl. Pademangan II Gg. 22 No 34, Pademangan Timur, Pademangan",259.0,8.0,"HARYANTI, S.Pd",021-64714864,Baik,A
2.0101064E7,SDN Pademangan Timur 03 Pg.,"Jl. Pademangan VI Gg. 34, Pademangan Timur, Pademangan",263.0,12.0,"Darmiyanti, S.Pd",6453974.0,Padat/Kumuh,A
2.0100634E7,SDN Pademangan Timur 04 Pt.,"Jl. Pademangan VI Gg. 34, Pademangan Timur, Pademangan",268.0,10.0,"CASKIM, S.Pd",6.4714979E7,Padat/Kumuh,B
2.0100653E7,SDN Pademangan Timur 05 Pg.,"Jl. Pademangan VI Gg. 34, Pademangan Timur, Pademangan",413.0,15.0,"A.SUPANDI,S.Pd,MM",6453958.0,Padat/Kumuh,B
2.0100654E7,SDN Pademangan Timur 06 Pg.,"Jl. Pademangan VI Gg. 36, Pademangan Timur, Pademangan",326.0,13.0,"MAESAROH,M.MPd",6.4714463E7,Baik,A
2.0100655E7,SDN Pademangan Timur 07 Pt.,"Jl. Pademangan VI Gg. 34, Pademangan Timur, Pademangan",398.0,10.0,"MAMAN JUAMAN, S.Pd, M.Si",6.4714745E7,Padat/Kumuh,B
2.0100656E7,SDN Pademangan Timur 08 Pt.,"Jl. Pademangan Timur VI Gg. 34, Pademangan Timur, Pademangan",300.0,13.0,"Nenah Rosita, S.Pd.",021-64715578,Baik,B
2.0104876E7,SDN Pademangan Timur 09 Pg.,"Jl. Pademangan Timur VI No. 78, Pademangan Timur, Pademangan",333.0,13.0,"HAJARAH, S.Pd, M.Si",6456552.0,Padat/Kumuh,A
2.0100657E7,SDN Pademangan Timur 10 Pt.,"Jl. Pademangan VI Rt.04/10 NO; 78, Pademangan Timur, Pademangan",339.0,10.0,"HAJRAH, S.Pd, M.Si",6.4714878E7,Baik,A
2.0105424E7,SDN Palmerah 01 Pg.,"Jl. Palmerah Utara No. 80, Palmerah, Palmerah",190.0,10.0,"ARIYANTO, S.Pd",5.3675803E7,Baik,A
2.0105425E7,SDN Palmerah 03 Pg.,"Jl. Palmerah Utara No. 80, Palmerah, Palmerah",239.0,9.0,"Hj. Muryati, S.Pd",5362532.0,Baik,A
2.0105427E7,SDN Palmerah 05 Pg.,"Jl. Palmerah Utara No. 80, Palmerah, Palmerah",172.0,12.0,"Hj. Suryani, S.Pd",5326118.0,Baik,A
2.0105428E7,SDN Palmerah 07 Pg.,"Jl. Palmerah Utara No.80, Palmerah, Palmerah",252.0,14.0,"Ikayanti Purwaningsih, S. Pd",5309026.0,Baik,B
2.0109268E7,SDN Palmerah 09 Pg.,"Jl. Palmerah Barat No. 45, Palmerah, Palmerah",423.0,20.0,"HUSNIDAR, S.Pd",(021) 536 54206,Baik,A
2.0101452E7,SDN Palmerah 13 Pg.,"Jl. Palmerah Barat II, Palmerah, Palmerah",253.0,9.0,Harisah,5.3672877E7,Padat/Kumuh,A
2.0101453E7,SDN Palmerah 14 Pg.,"Jl. Palmerah Barat II, Palmerah, Palmerah",207.0,10.0,"HARISAH, S.Pd",2.15358529E8,Padat/Kumuh,B
2.0105434E7,SDN Palmerah 15 Pg.,"Komp. Sandang, Palmerah, Palmerah",326.0,16.0,"Hj. ENDAH WAHYUNINGSIH,S.Pd",5320237.0,Banjir,A
2.0105435E7,SDN Palmerah 17 Pg.,"Komp. Sandang, Palmerah, Palmerah",357.0,16.0,"Sri Lestari, S.Pd, M.M",5307714.0,Banjir,A
2.0105436E7,SDN Palmerah 19 Pg.,"Jl. Rawa Belong II/ E, Palmerah, Palmerah",341.0,16.0,Dra. Yuhanah,021-5329888,Banjir,A
2.0101463E7,SDN Palmerah 20 Pg.,"Jl. Rawa belong II/E, Palmerah, Palmerah",249.0,11.0,"N. RUNAH, S.Pd",5363575.0,Banjir,A
2.0101462E7,SDN Palmerah 21 Pg.,"Jl. Palmerah Barat VI, Palmerah, Palmerah",322.0,13.0,"BAHRUDDIN, S.Pd",021-53654150,Baik,B
2.0101461E7,SDN Palmerah 22 Pg.,"Jl. Palmerah Barat VI, Palmerah, Palmerah",325.0,11.0,"Sumiati, S.Pd",5364356.0,Banjir,A
2.010146E7,SDN Palmerah 23 Pg.,"Jl. Rawa Belong II/E No.153, Palmerah, Palmerah",190.0,8.0,Udi Riyanta,2.153675765E9,Banjir,A
2.0105441E7,SDN Palmerah 24 Pg.,"Jl. Rawa Belong II/E No. 153, Palmerah, Palmerah",144.0,9.0,UDI RIYANTA,5362834.0,Banjir,B
2.0105442E7,SDN Palmerah 25 Pg.,"Jl. Kemanggisan Pulo, Palmerah, Palmerah",420.0,15.0,"Karmin, S.Pd, MM",5360539.0,Padat/Kumuh,A
2.0108302E7,SDN Palmeriam 01 Pg.,"Jl. Kayumanis I Lama, Pal Meriem, Matraman",245.0,12.0,Drs. Saim Sujana,021 8508140,Padat/Kumuh,A
2.0108303E7,SDN Palmeriam 02 Pt.,"Jl. Kayumanis I Lama, Pal Meriem, Matraman",242.0,11.0,"Kartidi, S.Pd.SD",8571104.0,Padat/Kumuh,B
2.0109025E7,SDN Palmeriam 03 Pg.,"Jl. Kayumanis I Lama, Pal Meriem, Matraman",285.0,12.0,"SUTASMI, S.Pd.",021-8571104,Padat/Kumuh,A
2.0106067E7,SDN Pancoran 01 Pg.,"Jl. Komp. Triloka MBAU Panc., Pancoran, Pancoran",346.0,18.0,"IBNU MAULANA H ,S.Pd",7901610.0,Baik,A
2.0106069E7,SDN Pancoran 03 Pg.,"Jl. Pancoran Timur II B/21, Pancoran, Pancoran",212.0,10.0,SITI MARYATI,7902570.0,Baik,A
2.0102396E7,SDN Pancoran 05 Pg.,"Jl. Pancoran Timur II B/21, Pancoran, Pancoran",182.0,10.0,MAJID,021 - 7942491,Baik,B
2.0102395E7,SDN Pancoran 07 Pg.,"Jl. Pancoran Barat VIII/A, Pancoran, Pancoran",243.0,11.0,Muhammad Arif,7988578.0,Banjir,A
